area,ds_utc,ds_local,y,source_dataset
DK2,2024-12-12 16:00:00+00:00,2024-12-12 17:00:00+01:00,6982.640137,Elspotprices
DK1,2024-12-12 16:00:00+00:00,2024-12-12 17:00:00+01:00,6982.419922,Elspotprices
DK2,2024-12-12 15:00:00+00:00,2024-12-12 16:00:00+01:00,6107.870117,Elspotprices
DK1,2024-12-12 15:00:00+00:00,2024-12-12 16:00:00+01:00,6107.640137,Elspotprices
DK1,2026-06-24 18:00:00+00:00,2026-06-24 20:00:00+02:00,5203.2470837500005,DayAheadPrices
DK1,2026-06-24 19:00:00+00:00,2026-06-24 21:00:00+02:00,5181.41852275,DayAheadPrices
DK2,2026-06-24 18:00:00+00:00,2026-06-24 20:00:00+02:00,5109.541549,DayAheadPrices
DK2,2026-06-24 19:00:00+00:00,2026-06-24 21:00:00+02:00,5088.1243165,DayAheadPrices
DK2,2024-12-12 17:00:00+00:00,2024-12-12 18:00:00+01:00,5027.930176,Elspotprices
DK1,2024-12-12 17:00:00+00:00,2024-12-12 18:00:00+01:00,5027.779785,Elspotprices
