area,ds_utc,ds_local,y,source_dataset
DK1,2024-04-14 11:00:00+00:00,2024-04-14 13:00:00+02:00,-448.019989,Elspotprices
DK1,2024-04-14 12:00:00+00:00,2024-04-14 14:00:00+02:00,-447.720001,Elspotprices
DK1,2024-08-11 11:00:00+00:00,2024-08-11 13:00:00+02:00,-447.459991,Elspotprices
DK2,2024-08-11 11:00:00+00:00,2024-08-11 13:00:00+02:00,-447.459991,Elspotprices
DK2,2024-04-14 12:00:00+00:00,2024-04-14 14:00:00+02:00,-402.880005,Elspotprices
DK2,2024-04-14 11:00:00+00:00,2024-04-14 13:00:00+02:00,-397.73999,Elspotprices
DK1,2024-08-11 12:00:00+00:00,2024-08-11 14:00:00+02:00,-373.809998,Elspotprices
DK1,2024-07-28 12:00:00+00:00,2024-07-28 14:00:00+02:00,-363.359985,Elspotprices
DK2,2024-07-28 12:00:00+00:00,2024-07-28 14:00:00+02:00,-363.359985,Elspotprices
DK1,2024-04-14 10:00:00+00:00,2024-04-14 12:00:00+02:00,-315.070007,Elspotprices
