local_month_period,area,median,mean,min,max
2024-01,DK1,548.91,557.17,-1.34,1121.12
2024-01,DK2,558.88,583.28,11.93,3925.23
2024-02,DK1,439.12,437.12,0.0,1016.28
2024-02,DK2,436.94,407.96,0.0,1016.28
2024-03,DK1,446.86,456.62,-20.43,1302.98
2024-03,DK2,446.2,455.24,0.07,1302.98
2024-04,DK1,444.52,441.34,-448.02,1525.74
2024-04,DK2,468.85,451.13,-402.88,1525.74
2024-05,DK1,468.24,436.56,-214.93,1311.3
2024-05,DK2,475.0,433.62,-112.44,1652.25
2024-06,DK1,489.94,475.54,-276.99,1561.37
2024-06,DK2,504.31,498.2,-276.99,1756.72
2024-07,DK1,505.19,462.79,-363.36,1857.14
2024-07,DK2,508.67,468.84,-363.36,1919.34
2024-08,DK1,621.19,544.35,-447.46,2077.37
2024-08,DK2,619.21,541.81,-447.46,2157.78
2024-09,DK1,600.0,535.0,-38.12,2535.96
2024-09,DK2,600.92,525.3,-25.66,2535.96
2024-10,DK1,594.49,572.35,-14.99,2131.58
2024-10,DK2,594.49,569.42,-14.99,2131.58
2024-11,DK1,749.14,715.26,-13.87,4102.2
2024-11,DK2,747.35,710.63,-13.87,4096.76
2024-12,DK1,581.8,685.0,-5.74,6982.42
2024-12,DK2,581.8,691.64,0.15,6982.64
2025-01,DK1,744.61,730.93,0.0,4352.69
2025-01,DK2,756.69,747.03,7.76,4352.69
2025-02,DK1,858.82,841.78,29.32,2229.57
2025-02,DK2,900.36,879.74,29.32,2229.72
2025-03,DK1,715.01,628.8,-99.91,1935.94
2025-03,DK2,714.81,617.62,-89.52,2083.71
2025-04,DK1,632.0,561.09,-224.6,1964.95
2025-04,DK2,633.01,565.91,-146.51,1979.21
2025-05,DK1,582.06,479.2,-170.02,1588.28
2025-05,DK2,530.67,470.61,-98.23,1588.65
2025-06,DK1,485.93,438.51,-196.26,2155.98
2025-06,DK2,448.47,421.09,-189.1,2155.98
2025-07,DK1,665.82,617.92,-14.92,3552.71
2025-07,DK2,653.86,596.71,-12.98,3552.71
2025-08,DK1,649.89,548.4,-284.65,2118.76
2025-08,DK2,652.51,562.14,-127.85,2119.95
2025-09,DK1,603.47,540.41,-254.1,3088.39
2025-09,DK2,639.84,621.69,-12.02,3064.64
2025-10,DK1,594.86,584.13,-27.29,3041.17
2025-10,DK2,622.57,613.53,-14.26,3041.67
2025-11,DK1,649.73,693.58,36.77,2800.03
2025-11,DK2,660.23,699.72,31.92,2889.48
2025-12,DK1,602.52,615.79,26.26,2058.19
2025-12,DK2,602.76,613.13,26.26,2303.09
2026-01,DK1,752.33,788.7,19.05,2072.27
2026-01,DK2,775.08,820.85,19.1,2063.02
2026-02,DK1,716.82,717.93,267.93,1712.28
2026-02,DK2,759.02,847.37,267.93,4830.51
2026-03,DK1,775.67,728.59,-0.8,2764.1
2026-03,DK2,775.72,724.9,-22.77,2322.63
2026-04,DK1,753.35,621.47,-233.74,1779.68
2026-04,DK2,701.18,593.03,-44.69,1821.96
2026-05,DK1,859.91,747.1,-224.19,2943.84
2026-05,DK2,845.62,744.15,-105.33,2890.59
2026-06,DK1,839.26,823.01,-216.38,5203.25
2026-06,DK2,817.64,814.41,-7.83,5109.54
2026-07,DK1,1110.23,1137.13,721.99,1863.29
2026-07,DK2,1097.27,1133.19,734.94,1853.07
